read_requests,wangshunping/read_requests,False,python requests 源码阅读，学习更pythonic 的python代码写法。
cpr,libcpr/cpr,False,"C++ Requests: Curl for People, a spiritual port of Python Requests."
requests-futures,ross/requests-futures,False,Asynchronous Python HTTP Requests for Humans using Futures
robotframework-requests,MarketSquare/robotframework-requests,False,Robot Framework keyword library wrapper for requests
grequests,spyoungtech/grequests,False,Requests + Gevent = <3
pull-requests,btholt/pull-requests,False,A sample repo for the Intro to Web Dev course for Frontend Masters
reqwest,ded/reqwest,False,browser asynchronous http requests
requests-cache,requests-cache/requests-cache,False,Persistent HTTP cache for python requests
WordPress,WordPress/WordPress,False,"WordPress, Git-ified. This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit pull requests to https://github.com/WordPress/wordpress-develop and patches to https://core.trac.wordpress.org/ instead."
lazyweb-requests,h5bp/lazyweb-requests,False,Get projects and ideas built by the community
requests3,kennethreitz-archive/requests3,False,"Requests 3.0, for Humans and Machines, alike. 🤖"
semantic-pull-requests,zeke/semantic-pull-requests,False,:robot: Let the robots take care of the semantic versioning
collectd,collectd/collectd,False,The system statistics collection daemon. Please send Pull Requests here!
learn4haskell,kowainik/learn4haskell,False,👩‍🏫 👨‍🏫 Learn Haskell basics in 4 pull requests
HeaderEditor,FirefoxBar/HeaderEditor,False,"Manage browser's requests, include modify the request headers and response headers, redirect requests, cancel requests"
c-ares,c-ares/c-ares,False,A C library for asynchronous DNS requests
requests,wangluozhe/requests,False,用于快速请求HTTP或HTTPS，并支持修改ja3指纹
vscode-pull-request-github,microsoft/vscode-pull-request-github,False,GitHub Pull Requests for Visual Studio Code
laravel-query-builder,spatie/laravel-query-builder,False,Easily build Eloquent queries from API requests
requests-ip-rotator,Ge0rg3/requests-ip-rotator,False,A Python library to utilize AWS API Gateway's large IP pool as a proxy to generate pseudo-infinite IPs for web scraping and brute forcing.
hound,houndci/hound,False,Automated code review for GitHub pull requests.
mention-bot,facebookarchive/mention-bot,False,Automatically mention potential reviewers on pull requests.
LollipopShowcase,mikepenz/LollipopShowcase,False,"A simple app to showcase Androids Material Design and some of the cool new cool stuff in Android Lollipop. RecyclerView, CardView, ActionBarDrawerToggle, DrawerLayout, Animations, Android Compat Design, Toolbar"
lolMiner-releases,Lolliedieb/lolMiner-releases,False,
LolliPin,omadahealth/LolliPin,False,A Material design Android pincode library. Supports Fingerprint.
LOLBAS,LOLBAS-Project/LOLBAS,False,Living Off The Land Binaries And Scripts - (LOLBins and LOLScripts)
lolcommits,lolcommits/lolcommits,False,:camera: git-based selfies for software developers
LOLBAS,api0cradle/LOLBAS,False,Living Off The Land Binaries And Scripts - (LOLBins and LOLScripts)
lolcat,busyloop/lolcat,False,Rainbows and unicorns!
LollipopGo,Golangltd/LollipopGo,False,"稳定分支2.9.X 版本已更新，由【Golang语言游戏服务器】维护，全球服游戏服务器及区域服框架,目前协议支持websocket、http、KCP、TCP及RPC，采用状态同步(帧同步内测)，愿景：打造MMO多人竞技游戏框架！ 功能持续更新中... ..."
LOL,RozDavid/LOL,False,LOL: Lidar-only Odometry and Localization in 3D point cloud maps
ZuAnBot,liuke-wuhan/ZuAnBot,False,祖安助手：英雄联盟（League Of Legends）一键喷人，LOL游戏和客户端中可用。只为反击喷子！
R3nzSkin,R3nzTheCodeGOD/R3nzSkin,False,Skin changer for League of Legends (LOL)
PreLollipopTransition,takahirom/PreLollipopTransition,False,Simple tool which help you to implement activity and fragment transition for pre-Lollipop devices.
primitive.js,ondras/primitive.js,False,JS port of primitive.lol
hh-lol-prophet,real-web-world/hh-lol-prophet,False,"lol 对局先知 上等马 牛马分析程序 选人阶段判断己方大爹 大坑, 明确对局目标 基于lol client api 合法不封号"
LollipopContactsRecyclerViewFastScroller,AndroidDeveloperLB/LollipopContactsRecyclerViewFastScroller,False,A sample of how to mimic the way that the contacts app handles a Fast-Scroller for a RecyclerView
lolimeow,baomihuahua/lolimeow,False,wordpress主题 lolimeow 
Lol,cpeikert/Lol,False,Λ ⚬ λ: Functional Lattice Cryptography
lol_dba,plentz/lol_dba,False,"lol_dba is a small package of rake tasks that scan your application models and displays a list of columns that probably should be indexed. Also, it can generate .sql migration scripts."
LoLHuman,LoL-Human/LoLHuman,False,LoL Human APIs
keys-generator,SjorsO/keys-generator,False,Key generator for https://keys.lol
lolviz,parrt/lolviz,False,"A simple Python data-structure visualization tool for lists of lists, lists, dictionaries; primarily for use in Jupyter notebooks / presentations"
Android-Material-Design-for-pre-Lollipop,Suleiman19/Android-Material-Design-for-pre-Lollipop,False,"Various UI implementations, animations & effects  based on Material Design compatible with pre Lollipop devices as well. (Work in progess)"
The-LoliBot-MD,elrebelde21/The-LoliBot-MD,False,"𝙃𝙤𝙡𝙖 👋 𝘽𝙞𝙚𝙣𝙫𝙚𝙣𝙞𝙙𝙤 🤗 𝙚𝙨𝙩𝙚 𝙚𝙨 𝙚𝙡 𝙧𝙚𝙥𝙤𝙨𝙞𝙩𝙤𝙧𝙞𝙤 𝙤𝙛𝙞𝙘𝙞𝙖𝙡 𝙙𝙚𝙡 𝙏𝙝𝙚 𝙇𝙤𝙡𝙞𝘽𝙤𝙩-𝙈𝘿.  𝘼𝙦𝙪𝙞 𝙨𝙚 𝙧𝙚𝙖𝙡𝙞𝙯𝙖𝙣 𝙖𝙘𝙩𝙪𝙖𝙡𝙞𝙯𝙖𝙘𝙞𝙤𝙣𝙚𝙨,  𝙎𝙞 𝙩𝙚 𝙖𝙜𝙧𝙖𝙙𝙖 𝙚𝙡 𝙗𝙤𝙩 𝙢𝙚 𝙥𝙪𝙚𝙙𝙚 𝙧𝙚𝙜𝙖𝙡𝙖𝙧 𝙪𝙣𝙖 🌟,  𝙚𝙨𝙥𝙚𝙧𝙤 𝙦𝙪𝙚 𝙜𝙪𝙨𝙩𝙚 𝙚𝙡 𝙗𝙤𝙩 😊"
LOLBAS222,homjxi0e/LOLBAS222,False,"APT || Execution || Launch || APTs || ( Authors harr0ey, bohops )"
lol-html,cloudflare/lol-html,False,Low output latency streaming HTML parser/rewriter with CSS selector-based API
lolcode-spec,justinmeza/lolcode-spec,False,LOLCODE language specification archives and development.
sinatras-hat,nakajima/sinatras-hat,False,lol
lollipops,joiningdata/lollipops,False,Lollipop-style mutation diagrams for annotating genetic variations.
loli_profiler,Tencent/loli_profiler,False,Memory instrumentation tool for android app&game developers.
omg.lol,neatnik/omg.lol,False,Cool stuff for omg.lol
json,nlohmann/json,False,JSON for Modern C++
json,serde-rs/json,False,Strongly typed JSON library for Rust
json-server,typicode/json-server,False,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
JsonPath,json-path/JsonPath,False,Java JsonPath implementation
json,flori/json,False,JSON implementation for Ruby
jsonschema2pojo,joelittlejohn/jsonschema2pojo,False,"Generate Java types from JSON or JSON Schema and annotate those types for data-binding with Jackson, Gson, etc"
jsoncpp,open-source-parsers/jsoncpp,False,A C++ library for interacting with JSON.
SwiftyJSON,SwiftyJSON/SwiftyJSON,False,The better way to deal with JSON data in Swift.
JSON-js,douglascrockford/JSON-js,False,JSON in JavaScript
jsoneditor,josdejong/jsoneditor,False,"A web-based tool to view, edit, format, and validate JSON"
json,konklone/json,False,"A free, in-browser JSON to CSV converter."
json,trentm/json,False,"A ""json"" command for massaging JSON on your Unix command line."
json-tutorial,miloyip/json-tutorial,False,从零开始的 JSON 库教程
Newtonsoft.Json,JamesNK/Newtonsoft.Json,False,Json.NET is a popular high-performance JSON framework for .NET
JSONKit,johnezang/JSONKit,False,Objective-C JSON
cJSON,DaveGamble/cJSON,False,Ultralightweight JSON parser in ANSI C
json11,dropbox/json11,False,A tiny JSON library for C++11.
jsonmodel,jsonmodel/jsonmodel,False,"Magical Data Modeling Framework for JSON - allows rapid creation of smart data models. You can use it in your iOS, macOS, watchOS and tvOS apps."
jsoncrack.com,AykutSarac/jsoncrack.com,False,⭐️ Transform data chaos into clarity with JSON Crack - the ultimate JSON visualization solution.
JSON-java,stleary/JSON-java,False,A reference implementation of a JSON package in Java.
json,rsanchez/json,False,Output ExpressionEngine data in JSON format.
node-jsonwebtoken,auth0/node-jsonwebtoken,False,JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html
JSONExport,Ahmed-Ali/JSONExport,False,"JSONExport is a desktop application for Mac OS X which enables you to export JSON objects as model classes with their associated constructors, utility methods, setters and getters in your favorite language."
react-jsonschema-form,rjsf-team/react-jsonschema-form,False,A React component for building Web forms from JSON Schema.
json,taocpp/json,False,C++ header-only JSON library
json5,json5/json5,False,JSON5 — JSON for Humans
json2csv,zemirco/json2csv,False,Convert json to csv with column titles
json-editor,jdorn/json-editor,False,JSON Schema Based Editor
ArduinoJson,bblanchon/ArduinoJson,False,📟 JSON library for Arduino and embedded C++. Simple and efficient.
jq,stedolan/jq,False,Command-line JSON processor
